frame,t,bx,by
0,0.0,320.0,240.0
1,0.03333333333333333,323.7331604962277,244.79911116049252
2,0.06666666666666667,327.4652840274328,249.5928904689686
3,0.1,331.19533391663197,254.37601199714325
4,0.13333333333333333,334.92227406284,259.14316165761323
5,0.16666666666666666,338.6450692288695,263.88904310785176
6,0.2,342.3626853288895,268.6083836344888
7,0.23333333333333334,346.07408971566537,273.295940011339
8,0.26666666666666666,349.7782514673984,277.94650432466904
9,0.3,353.47414167408624,282.5549097592329
10,0.3333333333333333,357.16073372332494,287.1160363386459
11,0.36666666666666664,360.8370035854723,291.6248166137209
12,0.4,364.5019300980937,296.0762412924457
13,0.43333333333333335,368.15449524961224,300.46536480534803
14,0.4666666666666667,371.79368446208287,304.78731080006395
15,0.5,375.41848687301314,309.03727755900525
16,0.5333333333333333,379.02789561615185,313.21054333410734
17,0.5666666666666667,382.6209081011677,317.3024715927304
18,0.6,386.19652629214005,321.3085161688851
19,0.6333333333333333,389.75375698478484,325.2242263140604
20,0.6666666666666666,393.2916120823381,329.0452516420421
21,0.7,396.8091088700211,332.7673469622275
22,0.7333333333333333,400.30527028801026,336.38637699606716
23,0.7666666666666667,403.7791252028364,339.89832097139333
24,0.8,407.22970867713775,343.2992770895313
25,0.8333333333333334,410.6560622376919,346.58546686022936
26,0.8666666666666667,414.0572341416525,349.7532392995929
27,0.9,417.43227964091557,352.7990749863576
28,0.9333333333333333,420.7802612445439,355.7195899719952
29,0.9666666666666667,424.10024897917515,358.5115395403084
30,1.0,427.39132064734144,361.1718218123371
31,1.0333333333333334,430.65256208363,363.6974811925717
32,1.0666666666666667,433.88306740861145,366.0857116526437
33,1.1,437.0819392804677,368.3338598488467
34,1.1333333333333333,440.24828914424734,370.43942807002287
35,1.1666666666666667,443.3812374786812,372.40007701254075
36,1.2,446.4799140404879,374.2136283792806
37,1.2333333333333334,449.54345810610243,375.8780672997408
38,1.2666666666666666,452.57101871076065,377.39154456857517
39,1.3,455.56175488487287,378.7523787000758
